타일맵Id,X좌표,Y좌표,이동가능타일맵파일,이동불가타일맵파일
int,int,int,string,string
Id,Xindex,Yindex,TownFileName,OutlandFileName
99000001,0,0,t_999,t_734
99000002,0,1,t_985,t_904
99000003,0,2,t_916,t_899
99000004,0,3,t_916,t_904
99000005,0,4,t_985,t_899
99000006,0,5,t_999,t_734
99000007,0,6,t_984,t_732
99000008,0,7,t_999,t_735
99000009,0,8,t_916,t_732
99000010,0,9,t_999,t_904
99000011,0,10,t_916,t_735
99000012,0,11,t_987,t_728
99000013,0,12,t_985,t_735
99000014,0,13,t_985,t_732
99000015,0,14,t_984,t_735
99000016,0,15,t_916,t_734
99000017,0,16,t_916,t_904
99000018,0,17,t_999,t_899
99000019,0,18,t_916,t_732
99000020,0,19,t_984,t_732
99000021,0,20,t_771,t_732
99000022,0,21,t_771,t_735
99000023,0,22,t_999,t_735
99000024,0,23,t_999,t_734
99000025,0,24,t_985,t_735
99000026,1,0,t_985,t_904
99000027,1,1,t_999,t_735
99000028,1,2,t_987,t_735
99000029,1,3,t_987,t_735
99000030,1,4,t_999,t_735
99000031,1,5,t_916,t_904
99000032,1,6,t_985,t_732
99000033,1,7,t_984,t_732
99000034,1,8,t_984,t_899
99000035,1,9,t_987,t_734
99000036,1,10,t_999,t_735
99000037,1,11,t_771,t_734
99000038,1,12,t_999,t_732
99000039,1,13,t_771,t_728
99000040,1,14,t_985,t_728
99000041,1,15,t_771,t_735
99000042,1,16,t_771,t_735
99000043,1,17,t_987,t_904
99000044,1,18,t_985,t_904
99000045,1,19,t_984,t_728
99000046,1,20,t_771,t_732
99000047,1,21,t_999,t_728
99000048,1,22,t_985,t_735
99000049,1,23,t_984,t_728
99000050,1,24,t_984,t_899
99000051,2,0,t_985,t_734
99000052,2,1,t_985,t_735
99000053,2,2,t_985,t_899
99000054,2,3,t_916,t_732
99000055,2,4,t_984,t_735
99000056,2,5,t_987,t_734
99000057,2,6,t_999,t_732
99000058,2,7,t_985,t_732
99000059,2,8,t_985,t_899
99000060,2,9,t_771,t_728
99000061,2,10,t_984,t_899
99000062,2,11,t_985,t_728
99000063,2,12,t_987,t_734
99000064,2,13,t_985,t_899
99000065,2,14,t_771,t_732
99000066,2,15,t_984,t_735
99000067,2,16,t_771,t_899
99000068,2,17,t_985,t_732
99000069,2,18,t_984,t_904
99000070,2,19,t_999,t_904
99000071,2,20,t_999,t_732
99000072,2,21,t_999,t_734
99000073,2,22,t_999,t_899
99000074,2,23,t_985,t_735
99000075,2,24,t_916,t_734
99000076,3,0,t_771,t_735
99000077,3,1,t_771,t_734
99000078,3,2,t_985,t_735
99000079,3,3,t_999,t_728
99000080,3,4,t_984,t_734
99000081,3,5,t_916,t_735
99000082,3,6,t_985,t_735
99000083,3,7,t_999,t_734
99000084,3,8,t_984,t_732
99000085,3,9,t_987,t_735
99000086,3,10,t_999,t_904
99000087,3,11,t_999,t_904
99000088,3,12,t_984,t_734
99000089,3,13,t_984,t_728
99000090,3,14,t_771,t_904
99000091,3,15,t_999,t_904
99000092,3,16,t_985,t_732
99000093,3,17,t_987,t_904
99000094,3,18,t_984,t_904
99000095,3,19,t_771,t_735
99000096,3,20,t_987,t_735
99000097,3,21,t_999,t_728
99000098,3,22,t_771,t_899
99000099,3,23,t_771,t_732
99000100,3,24,t_985,t_732
99000101,4,0,t_916,t_735
99000102,4,1,t_987,t_904
99000103,4,2,t_771,t_728
99000104,4,3,t_771,t_732
99000105,4,4,t_987,t_904
99000106,4,5,t_999,t_734
99000107,4,6,t_771,t_904
99000108,4,7,t_987,t_734
99000109,4,8,t_916,t_904
99000110,4,9,t_984,t_904
99000111,4,10,t_999,t_904
99000112,4,11,t_987,t_735
99000113,4,12,t_916,t_735
99000114,4,13,t_999,t_728
99000115,4,14,t_771,t_899
99000116,4,15,t_771,t_734
99000117,4,16,t_984,t_734
99000118,4,17,t_987,t_732
99000119,4,18,t_984,t_899
99000120,4,19,t_916,t_734
99000121,4,20,t_916,t_904
99000122,4,21,t_999,t_735
99000123,4,22,t_999,t_734
99000124,4,23,t_987,t_732
99000125,4,24,t_985,t_904
